Chapter_Desc,Chapter_Desc_Short,Group_Code,Group_Desc,ICD10_3_Code,ICD10_3_Code_Desc,ICD10_Code,WHO_Full_Desc
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F00,Dementia in Alzheimer's disease (G30.-+),F00.0,Dementia in Alzheimer's disease with early onset (G30.0+)
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F00,Dementia in Alzheimer's disease (G30.-+),F00.1,Dementia in Alzheimer's disease with late onset (G30.1+)
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F00,Dementia in Alzheimer's disease (G30.-+),F00.2,"Dementia in Alzheimer's disease, atypical or mixed type (G30.8+)"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F00,Dementia in Alzheimer's disease (G30.-+),F00.9,"Dementia in Alzheimer's disease, unspecified (G30.9+)"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F01,Vascular dementia,F01.0,Vascular dementia of acute onset
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F01,Vascular dementia,F01.1,Multi-infarct dementia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F01,Vascular dementia,F01.2,Subcortical vascular dementia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F01,Vascular dementia,F01.3,Mixed cortical and subcortical vascular dementia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F01,Vascular dementia,F01.8,Other vascular dementia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F01,Vascular dementia,F01.9,"Vascular dementia, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F02,Dementia in other diseases classified elsewhere,F02.0,Dementia in Pick's disease (G31.0+)
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F02,Dementia in other diseases classified elsewhere,F02.1,Dementia in Creutzfeldt-Jakob disease (A81.0+)
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F02,Dementia in other diseases classified elsewhere,F02.2,Dementia in Huntington's disease (G10+)
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F02,Dementia in other diseases classified elsewhere,F02.3,Dementia in Parkinson's disease (G20+)
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F02,Dementia in other diseases classified elsewhere,F02.4,Dementia in human immunodeficiency virus [HIV] disease (B22.0+)
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F02,Dementia in other diseases classified elsewhere,F02.8,Dementia in other specified diseases classified elsewhere
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F03,Unspecified dementia,F03,Unspecified dementia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F04,"Org amnesic syndrome, not induced by alcohol and other psychoactive substances",F04,"Org amnesic syndrome, not induced by alcohol and other psychoactive substances"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F05,"Delirium, not induced by alcohol and other psychoactive substances",F05.0,"Delirium not superimposed on dementia, so described"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F05,"Delirium, not induced by alcohol and other psychoactive substances",F05.1,Delirium superimposed on dementia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F05,"Delirium, not induced by alcohol and other psychoactive substances",F05.8,Other delirium
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F05,"Delirium, not induced by alcohol and other psychoactive substances",F05.9,"Delirium, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F06,Other mental disorders due to brain damage and dysfunction and to physical disease,F06.0,Org hallucinosis
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F06,Other mental disorders due to brain damage and dysfunction and to physical disease,F06.1,Org catatonic disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F06,Other mental disorders due to brain damage and dysfunction and to physical disease,F06.2,Org delusional [schizophrenia-like] disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F06,Other mental disorders due to brain damage and dysfunction and to physical disease,F06.3,Org mood [affective] disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F06,Other mental disorders due to brain damage and dysfunction and to physical disease,F06.4,Org anxiety disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F06,Other mental disorders due to brain damage and dysfunction and to physical disease,F06.5,Org dissociative disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F06,Other mental disorders due to brain damage and dysfunction and to physical disease,F06.6,Org emotionally labile [asthenic] disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F06,Other mental disorders due to brain damage and dysfunction and to physical disease,F06.7,Mild cognitive disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F06,Other mental disorders due to brain damage and dysfunction and to physical disease,F06.8,Other specified mental disorders due to brain damage and dysfunction and to physical disease
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F06,Other mental disorders due to brain damage and dysfunction and to physical disease,F06.9,Unspecified mental disorder due to brain damage and dysfunction and to physical disease
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F07,"Personality and behavioural disorders due to brain disease, damage and dysfunction",F07.0,Org personality disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F07,"Personality and behavioural disorders due to brain disease, damage and dysfunction",F07.1,Postencephalitic syndrome
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F07,"Personality and behavioural disorders due to brain disease, damage and dysfunction",F07.2,Postconcussional syndrome
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F07,"Personality and behavioural disorders due to brain disease, damage and dysfunction",F07.8,"Other Org personality and behavioural disorders due to brain disease, damage and dysfunction"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F07,"Personality and behavioural disorders due to brain disease, damage and dysfunction",F07.9,"Unspecified Org personality and behavioural disorder due to brain disease, damage and dysfunction"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,054 (F00-F09),"Org, including symptomatic, mental disorders",F09,Unspecified Org or symptomatic mental disorder,F09,Unspecified Org or symptomatic mental disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F10,Mental and behavioural disorders due to use of alcohol,F10.0,"Mental and behavioural disorders due to use of alcohol, acute intoxication"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F10,Mental and behavioural disorders due to use of alcohol,F10.1,"Mental and behavioural disorders due to use of alcohol, harmful use"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F10,Mental and behavioural disorders due to use of alcohol,F10.2,"Mental and behavioural disorders due to use of alcohol, dependence syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F10,Mental and behavioural disorders due to use of alcohol,F10.3,"Mental and behavioural disorders due to use of alcohol, withdrawal state"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F10,Mental and behavioural disorders due to use of alcohol,F10.4,"Mental and behavioural disorders due to use of alcohol, withdrawal state with delirium"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F10,Mental and behavioural disorders due to use of alcohol,F10.5,"Mental and behavioural disorders due to use of alcohol, psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F10,Mental and behavioural disorders due to use of alcohol,F10.6,"Mental and behavioural disorders due to use of alcohol, amnesic syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F10,Mental and behavioural disorders due to use of alcohol,F10.7,"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F10,Mental and behavioural disorders due to use of alcohol,F10.8,"Mental and behavioural disorders due to use of alcohol, other mental and behavioural disorders"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F10,Mental and behavioural disorders due to use of alcohol,F10.9,"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F11,Mental and behavioural disorders due to use of opioids,F11.0,"Mental and behavioural disorders due to use of opioids, acute intoxication"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F11,Mental and behavioural disorders due to use of opioids,F11.1,"Mental and behavioural disorders due to use of opioids, harmful use"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F11,Mental and behavioural disorders due to use of opioids,F11.2,"Mental and behavioural disorders due to use of opioids, dependence syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F11,Mental and behavioural disorders due to use of opioids,F11.3,"Mental and behavioural disorders due to use of opioids, withdrawal state"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F11,Mental and behavioural disorders due to use of opioids,F11.4,"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F11,Mental and behavioural disorders due to use of opioids,F11.5,"Mental and behavioural disorders due to use of opioids, psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F11,Mental and behavioural disorders due to use of opioids,F11.6,"Mental and behavioural disorders due to use of opioids, amnesic syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F11,Mental and behavioural disorders due to use of opioids,F11.7,"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F11,Mental and behavioural disorders due to use of opioids,F11.8,"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F11,Mental and behavioural disorders due to use of opioids,F11.9,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F12,Mental and behavioural disorders due to use of cannabinoids,F12.0,"Mental and behavioural disorders due to use of cannabinoids, acute intoxication"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F12,Mental and behavioural disorders due to use of cannabinoids,F12.1,"Mental and behavioural disorders due to use of cannabinoids, harmful use"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F12,Mental and behavioural disorders due to use of cannabinoids,F12.2,"Mental and behavioural disorders due to use of cannabinoids, dependence syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F12,Mental and behavioural disorders due to use of cannabinoids,F12.3,"Mental and behavioural disorders due to use of cannabinoids, withdrawal state"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F12,Mental and behavioural disorders due to use of cannabinoids,F12.4,"Mental and behavioural disorders due to use of cannabinoids, withdrawal state with delirium"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F12,Mental and behavioural disorders due to use of cannabinoids,F12.5,"Mental and behavioural disorders due to use of cannabinoids, psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F12,Mental and behavioural disorders due to use of cannabinoids,F12.6,"Mental and behavioural disorders due to use of cannabionoids, amnesic syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F12,Mental and behavioural disorders due to use of cannabinoids,F12.7,"Mental and behavioural disorders due to use of cannabinoids, residual and late-onset psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F12,Mental and behavioural disorders due to use of cannabinoids,F12.8,"Mental and behavioural disorders due to use of cannabinoids, other mental and behavioural disorders"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F12,Mental and behavioural disorders due to use of cannabinoids,F12.9,"Mental and behavioural disorders due to use of cannabinoids, unspecified mental and behavioural disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F13,Mental and behavioural disorders due to use of sedatives or hypnotics,F13.0,"Mental and behavioural disorders due to use of sedatives or hypnotics, acute intoxication"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F13,Mental and behavioural disorders due to use of sedatives or hypnotics,F13.1,"Mental and behavioural disorders due to use of sedatives or hypnotics, harmful use"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F13,Mental and behavioural disorders due to use of sedatives or hypnotics,F13.2,"Mental and behavioural disorders due to use of sedatives or hypnotics, dependence syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F13,Mental and behavioural disorders due to use of sedatives or hypnotics,F13.3,"Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F13,Mental and behavioural disorders due to use of sedatives or hypnotics,F13.4,"Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state with delirium"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F13,Mental and behavioural disorders due to use of sedatives or hypnotics,F13.5,"Mental and behavioural disorders due to use of sedatives or hypnotics, psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F13,Mental and behavioural disorders due to use of sedatives or hypnotics,F13.6,"Mental and behavioural disorders due to use of sedatives or hypnotics, amnesic syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F13,Mental and behavioural disorders due to use of sedatives or hypnotics,F13.7,"Mental and behavioural disorders due to use of sedatives or hypnotics, residual and late-onset psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F13,Mental and behavioural disorders due to use of sedatives or hypnotics,F13.8,"Mental and behavioural disorders due to use of sedatives or hypnotics, other mental and behavioural disorders"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F13,Mental and behavioural disorders due to use of sedatives or hypnotics,F13.9,"Mental and behavioural disorders due to use of sedatives or hypnotics, unspecified mental and behavioural disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F14,Mental and behavioural disorders due to use of cocaine,F14.0,"Mental and behavioural disorders due to use of cocaine, acute intoxication"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F14,Mental and behavioural disorders due to use of cocaine,F14.1,"Mental and behavioural disorders due to use of cocaine, harmful use"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F14,Mental and behavioural disorders due to use of cocaine,F14.2,"Mental and behavioural disorders due to use of cocaine, dependence syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F14,Mental and behavioural disorders due to use of cocaine,F14.3,"Mental and behavioural disorders due to use of cocaine, withdrawal state"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F14,Mental and behavioural disorders due to use of cocaine,F14.4,"Mental and behavioural disorders due to use of cocaine, withdrawal state with delirium"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F14,Mental and behavioural disorders due to use of cocaine,F14.5,"Mental and behavioural disorders due to use of cocaine, psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F14,Mental and behavioural disorders due to use of cocaine,F14.6,"Mental and behavioural disorders due to use of cocaine, amnesic syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F14,Mental and behavioural disorders due to use of cocaine,F14.7,"Mental and behavioural disorders due to use of cocaine, residual and late-onset psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F14,Mental and behavioural disorders due to use of cocaine,F14.8,"Mental and behavioural disorders due to use of cocaine, other mental and behavioural disorders"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F14,Mental and behavioural disorders due to use of cocaine,F14.9,"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",F15.0,"Mental and behavioural disorders due to use of other stimulants, including caffeine, acute intoxication"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",F15.1,"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",F15.2,"Mental and behavioural disorders due to use of other stimulants, including caffeine, dependence syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",F15.3,"Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",F15.4,"Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state with delirium"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",F15.5,"Mental and behavioural disorders due to use of other stimulants, including caffeine, psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",F15.6,"Mental and behavioural disorders due to use of other stimulants, including caffeine, amnesic syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",F15.7,"Mental and behavioural disorders due to use of other stimulants, including caffeine, residual and late-onset psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",F15.8,"Mental and behavioural disorders due to use of other stimulants, including caffeine, other mental and behavioural disorders"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",F15.9,"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F16,Mental and behavioural disorders due to use of hallucinogens,F16.0,"Mental and behavioural disorders due to use of hallucinogens, acute intoxication"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F16,Mental and behavioural disorders due to use of hallucinogens,F16.1,"Mental and behavioural disorders due to use of hallucinogens, harmful use"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F16,Mental and behavioural disorders due to use of hallucinogens,F16.2,"Mental and behavioural disorders due to use of hallucinogens, dependence syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F16,Mental and behavioural disorders due to use of hallucinogens,F16.3,"Mental and behavioural disorders due to use of hallucinogens, withdrawal state"
